,date,open,high,low,close,volume,money
287,2006-06-08,41.83,43.09,41.01,42.72,5845435.0,247094039.0
288,2006-06-09,42.72,43.2,41.5,42.6,5841082.0,247306955.0
289,2006-06-12,42.0,45.19,41.5,45.08,7134449.0,311536764.0
290,2006-06-13,45.08,47.17,45.08,45.94,7482948.0,347247357.0
291,2006-06-14,45.5,47.2,43.5,46.8,6223384.0,287725376.0
292,2006-06-15,46.79,48.2,45.9,46.4,5131147.0,242480009.0
293,2006-06-16,46.39,47.3,46.2,46.74,4008029.0,188160360.0
294,2006-06-19,46.5,49.58,45.7,48.53,7630589.0,368697291.0
295,2006-06-20,48.15,48.86,47.71,48.35,3760892.0,181973717.0
296,2006-06-21,48.35,48.5,46.75,47.33,3632394.0,172805456.0
297,2006-06-22,47.0,47.48,46.7,46.77,2365379.0,111205968.0
298,2006-06-23,46.5,47.3,46.3,46.68,2792408.0,130091791.0
299,2006-06-26,46.7,48.35,46.7,47.72,4786959.0,227823194.0
300,2006-06-27,47.87,49.6,47.82,48.96,5146617.0,252140738.0
301,2006-06-28,48.86,48.86,47.6,47.85,2680057.0,128599786.0
302,2006-06-29,47.9,48.49,47.6,48.1,3719105.0,178456804.0
303,2006-06-30,48.25,48.75,46.8,47.44,3903278.0,185164398.0
304,2006-07-03,47.42,47.42,46.38,46.8,4828774.0,225238880.0
305,2006-07-04,46.5,47.05,45.65,47.0,5250666.0,242839931.0
306,2006-07-05,47.2,47.2,46.2,46.55,1557263.0,72575812.0
307,2006-07-06,46.5,47.1,46.1,46.68,2205560.0,103048532.0
308,2006-07-07,46.72,46.99,45.91,45.99,2802363.0,129587181.0
309,2006-07-10,45.88,45.88,44.85,45.03,2769775.0,125019271.0
310,2006-07-11,45.0,45.46,44.6,44.75,2721409.0,122211032.0
311,2006-07-12,44.7,44.75,43.55,43.99,3312513.0,145831734.0
312,2006-07-13,43.75,45.4,43.28,44.67,3942420.0,175231413.0
313,2006-07-14,44.2,44.75,43.62,44.57,1834374.0,80947648.0
314,2006-07-17,44.3,45.55,43.85,44.86,2568418.0,115482082.0
315,2006-07-18,44.82,44.86,44.03,44.32,1539232.0,68227611.0
316,2006-07-19,44.2,44.4,42.9,43.47,3132698.0,136738969.0
317,2006-07-20,43.43,44.39,42.88,44.29,1937201.0,85005958.0
318,2006-07-21,44.25,44.5,44.01,44.43,1075971.0,47693738.0
319,2006-07-24,44.1,46.87,43.8,46.21,4052541.0,185467434.0
320,2006-07-25,46.21,47.0,45.7,46.82,3254213.0,151329073.0
321,2006-07-26,46.82,47.0,45.85,46.5,1740430.0,80947127.0
322,2006-07-27,46.4,46.79,45.8,46.18,2451514.0,113653352.0
323,2006-07-28,46.0,46.09,45.25,45.5,2288646.0,104187953.0
324,2006-07-31,45.38,45.4,44.0,44.0,1594807.0,70945071.0
325,2006-08-01,44.0,45.0,43.9,44.74,1316838.0,58663703.0
326,2006-08-02,44.7,45.0,43.88,44.08,886022.0,39215950.0
327,2006-08-03,44.1,44.55,42.7,42.98,1665548.0,71947181.0
328,2006-08-04,43.0,43.38,42.0,42.69,1479341.0,63433581.0
329,2006-08-07,42.25,43.39,41.08,42.36,1414235.0,59874589.0
330,2006-08-08,42.0,43.24,42.0,43.21,777176.0,33435494.0
331,2006-08-09,43.25,44.3,43.0,43.85,1028841.0,44982771.0
332,2006-08-10,43.85,44.38,43.85,44.01,1310561.0,57720598.0
333,2006-08-11,44.08,44.5,44.05,44.08,724713.0,32036673.0
334,2006-08-14,44.08,44.28,43.2,43.81,1117366.0,49033692.0
335,2006-08-15,43.55,44.18,43.5,44.12,639825.0,28008387.0
336,2006-08-16,44.1,45.09,44.0,44.99,899888.0,40252021.0
337,2006-08-17,45.09,45.09,43.39,44.25,1092965.0,48410678.0
338,2006-08-18,43.9,44.46,43.56,44.13,338123.0,14888941.0
339,2006-08-21,42.98,44.2,42.85,44.17,729321.0,32062134.0
340,2006-08-22,44.0,45.35,44.0,45.19,1110875.0,49977253.0
341,2006-08-23,43.8,44.69,43.8,44.42,2105623.0,93035269.0
342,2006-08-24,44.0,44.4,43.88,44.11,1257407.0,55366636.0
343,2006-08-25,44.11,44.59,43.8,44.04,747487.0,32852244.0
